symbol,company_name,isin,company_industry,sector,macro_category,basic_industry,listing_date,company_face_value,issued_size,market_cap_category,intrinsic_label,avg_revenue_from_operations,avg_other_income,avg_income,avg_employee_benefit_expense,avg_profit_loss_for_period,avg_basic_earnings_per_share,avg_open,avg_close,avg_volume,volatility,year_change_percent,sharpe_ratio,beta,avg_daily_return,avg_vwap_distance,liquidity_score,stability_score,trend_strength
SHRENIK,Shrenik Limited,INE632X01022,Paper & Paper Products,Forest Materials,Commodities,Paper & Paper Products,2019-08-02,1.0,612000000,Micro,Unknown,42449666.66666666,2170333.333333333,44620000.0,105666.6666666667,-557000.0,-1.2933333333,0.83,0.82,1939839,0.1675,-24.21,-0.2325,,-0.000719,-0.007554,5.119,3.1579,0.0313
SHREYANIND,Shreyans Industries Limited,INE231C01019,Paper & Paper Products,Forest Materials,Commodities,Paper & Paper Products,1996-11-06,10.0,13825000,Micro,Unknown,1458954666.6666667,62172666.66666666,1521127333.3333333,196270333.3333333,107152333.33333331,7.75,240.87,238.86,30004,35.3871,-20.9,-0.3265,,-0.000574,-0.002192,2.9528,3.7834,0.0769
SHRIRAMFIN,Shriram Finance Limited,INE721A01047,Non Banking Financial Company (NBFC),Financial Services,Financial Services,Non Banking Financial Company (NBFC),1996-12-11,2.0,1880383880,Large,IN-L,101309433333.33331,63433333.333333336,101372866666.66669,9151433333.333334,24775166666.666668,41.7066666667,2340.65,2338.07,2890963,1064.1736,-73.54,-0.4672,,-0.001665,0.000212,9.8413,5.7645,0.0202
SHRIPISTON,Shriram Pistons & Rings Limited,INE526E01018,Auto Components & Equipments,Automobile and Auto Components,Consumer Discretionary,Auto Components & Equipments,2016-06-02,10.0,44049824,Mid,IN-Mi,8538200000.0,279933333.3333333,8818133333.333334,1271266666.6666667,1213400000.0,27.25,2015.7,2009.15,95340,130.7291,-13.17,-0.1732,,-0.000269,-0.001289,9.3827,5.572,0.1174
SHRIRAMPPS,Shriram Properties Limited,INE217L01019,Residential Commercial Projects,Realty,Consumer Discretionary,Residential Commercial Projects,2021-12-20,10.0,170352907,Small,Unknown,1385700000.0,433866666.6666667,1819566666.6666667,229933333.3333333,98800000.0,0.5766666667,105.9,105.37,2037502,18.4701,-42.69,-0.9204,,-0.00178,-0.003438,9.8413,4.0222,0.1255
SHYAMCENT,Shyam Century Ferrous Limited,INE979R01011,Ferro & Silica Manganese,Metals & Mining,Commodities,Ferro & Silica Manganese,2015-07-28,1.0,212172990,Micro,Unknown,303252333.3333333,19603666.666666668,322856000.0,14314666.666666666,-16443333.333333334,-0.08,15.0,14.83,297594,3.03,-53.53,-2.703,,-0.00444,-0.005721,6.3889,3.8803,0.1688
SHYAMMETL,Shyam Metalics and Energy Limited,INE810G01011,Iron & Steel Products,Capital Goods,Industrials,Iron & Steel Products,2021-06-24,10.0,279131853,Large,IN-S,36660466666.66666,587966666.6666666,37248433333.333336,1082800000.0,2297033333.333333,8.2633333333,760.59,761.3,677019,94.2422,40.79,1.0673,,0.001706,0.000667,9.8413,3.9799,0.0202
SHYAMTEL,Shyam Telecom Limited,INE635A01023,Trading & Distributors,Services,Services,Trading & Distributors,2006-11-06,10.0,11270000,Micro,Unknown,0.0,358333.3333333333,358333.3333333333,3278666.6666666665,-4322666.666666667,-0.38,14.9,14.88,8509,2.652,85.18,11.4178,,0.029216,0.001829,0.0777,2.5421,0.6364
SIEMENS,Siemens Limited,INE003A01024,Heavy Electrical Equipment,Capital Goods,Industrials,Heavy Electrical Equipment,1995-09-06,2.0,356120505,Large,IN-L,48468666666.66666,2167000000.0,50635666666.66666,4950000000.0,6652119666.666667,16.4133333333,6567.73,6545.54,462424,1014.2937,-49.86,-0.8463,,-0.001958,-0.000756,9.8413,3.8022,0.0121
SIGACHI,Sigachi Industries Limited,INE0D0K01022,Pharmaceuticals,Healthcare,Healthcare,Pharmaceuticals,2021-11-15,1.0,333447170,Small,Unknown,1200111666.6666667,61103000.0,1261214666.6666667,176699333.33333334,180959333.3333333,0.57,54.05,53.79,1596723,9.7686,-39.92,-0.9587,,-0.001681,-0.005116,9.8413,4.1933,0.166
SIGMA,Sigma Solve Limited,INE0A0S01010,IT Enabled Services,Information Technology,Information Technology,IT Enabled Services,2023-06-09,10.0,10277498,Micro,Unknown,175448000.0,5090666.666666667,180538666.66666663,74722000.0,42456666.66666666,3.9766666667,359.6,356.87,16557,51.4038,-35.44,-0.8218,,-0.001409,-0.002871,1.6294,3.4011,0.1984
SIGNATURE,Signatureglobal (India) Limited,INE903U01023,Residential Commercial Projects,Realty,Consumer Discretionary,Residential Commercial Projects,2023-09-27,1.0,140510691,Mid,IN-S,5605696666.666667,331996666.6666667,5937693333.333333,373396666.6666667,106370000.0,0.7533333333,1327.13,1322.42,628863,149.455,-15.77,-0.2775,,-0.000412,-0.000158,9.8413,4.4663,0.0283
SIGIND,Signet Industries Limited,INE529F01035,Trading & Distributors,Services,Services,Trading & Distributors,2018-08-29,10.0,29437000,Micro,Unknown,2714248333.333333,6496000.0,2720744333.333333,72813000.0,27443000.0,0.8066666667,71.38,70.77,90968,12.1148,-24.67,-0.2715,,-0.00058,-0.004821,8.9525,3.1089,0.0891
SIGNPOST,Signpost India Limited,INE0KGZ01021,Advertising & Media Agencies,Media Entertainment & Publication,Consumer Discretionary,Advertising & Media Agencies,2024-02-14,2.0,53450000,Small,Unknown,1141264666.6666667,12280333.333333334,1153545000.0,108724666.66666669,109459333.33333331,2.05,270.12,268.74,134480,38.8931,-25.86,-0.1791,,-0.000517,-0.004211,7.5,2.9471,0.1117
SIKKO,Sikko Industries Limited,INE112X01017,Pesticides & Agrochemicals,Chemicals,Commodities,Pesticides & Agrochemicals,2021-10-22,10.0,21840000,Micro,Unknown,142988000.0,351333.3333333333,143339333.33333334,17872333.333333332,17160333.333333332,1.02,90.48,90.21,132004,11.2713,2.34,0.4018,,0.001132,-0.002222,7.2222,2.5462,0.0994
SILINV,SIL Investments Limited,INE923A01015,Investment Company,Financial Services,Financial Services,Investment Company,1996-05-22,10.0,10595860,Small,Unknown,180800000.0,3800000.0,184600000.0,6266666.666666667,113866666.66666669,10.5733333333,550.98,548.27,18041,58.117,24.58,0.8026,,0.001962,-0.002387,1.3173,3.2335,0.0383
