Symbol,QuartersAvailable,Avg_RevenueFromOperations,Avg_OtherIncome,Avg_Income,Avg_EmployeeBenefitExpense,Avg_FinanceCosts,Avg_DepreciationDepletionAndAmortisationExpense,Avg_OtherExpenses,Avg_Expenses,Avg_ProfitBeforeTax,Avg_TaxExpense,Avg_ProfitLossForPeriod,Avg_BasicEarningsLossPerShareFromContinuingOperations,Avg_DilutedEarningsLossPerShareFromContinuingOperations,Avg_ComprehensiveIncomeForThePeriod,Avg_PaidUpValueOfEquityShareCapital,Avg_FaceValueOfEquityShareCapital,Avg_DilutedEarningsLossPerShare,AvailableQuarters
MAPMYINDIA,3,1065689666.6666666,98047000.0,1163736666.6666667,207319000.0,8125000.0,51788666.666666664,320648666.6666667,719374333.3333334,444362000.0,112049000.0,328464666.6666667,6.0566666666666675,6.0,331176333.3333333,108586000.0,2.0,,"first,second,third"
MARALOVER,3,2574433333.3333335,52633333.333333336,2627066666.6666665,439266666.6666667,92766666.66666667,84666666.66666667,497400000.0,2711066666.6666665,-84000000.0,-4100000.0,-79900000.0,-1.9233333333333331,-1.9233333333333331,-77833333.33333333,415080000.0,10.0,,"first,second,third"
MARATHON,3,1472653000.0,189422333.33333334,1662075333.3333333,43940666.666666664,135255333.33333334,7094666.666666667,400094000.0,1141633333.3333333,520442000.0,105281666.66666667,454346000.0,8.753333333333334,8.743333333333334,454046000.0,256041000.0,5.0,,"first,second,third"
MARICO,3,27003333333.333332,536666666.6666667,27540000000.0,2076666666.6666667,136666666.66666666,420000000.0,6043333333.333333,21956666666.666668,5583333333.333333,1206666666.6666667,4376666666.666667,3.313333333333333,3.3066666666666666,4179563333.3333335,1290000000.0,1.0,,"first,second,third"
MARINE,3,1721182333.3333333,31796666.666666668,1752979333.3333333,132675333.33333333,35743666.666666664,37334333.333333336,193243666.66666666,1640043666.6666667,112935666.66666667,31193000.0,82006000.0,0.6266666666666666,0.62,84024666.66666667,272369666.6666667,2.0,,"first,second,third"
MARKSANS,3,6381290000.0,179523333.33333334,6560813333.333333,843606666.6666666,27416666.666666668,202136666.66666666,1466336666.6666667,5267900000.0,1292913333.3333333,319933333.3333333,972980000.0,2.1333333333333333,2.1333333333333333,1044870000.0,453161333.3333333,1.0,,"first,second,third"
MARSHALL,3,69748000.0,304000.0,70052000.0,10738333.333333334,9985000.0,12051666.666666666,6676333.333333333,91114333.33333333,-21062333.333333332,-5979333.333333333,-15083000.0,-0.8666666666666667,-0.8666666666666667,-14994333.333333334,207841333.33333334,10.0,,"first,second,third"
MARUTI,3,373309666666.6667,12138000000.0,385447666666.6667,17417333333.333332,488666666.6666667,13821333333.333334,43382000000.0,337013333333.3333,48434333333.333336,13710666666.666666,35297000000.0,112.26666666666667,112.26666666666667,36728000000.0,1572000000.0,5.0,,"first,second,third"
MASFIN,3,3861133333.3333335,9000000.0,3870133333.3333335,325233333.3333333,1870400000.0,13600000.0,196666666.66666666,2840400000.0,1029733333.3333334,261166666.66666666,768566666.6666666,4.31,4.31,808666666.6666666,1814510000.0,10.0,,"first,second,third"
MASKINVEST,3,1425333.3333333333,0.0,1425333.3333333333,1052666.6666666667,0.0,0.0,239666.66666666666,1292333.3333333333,133000.0,33333.333333333336,99666.66666666667,0.03333333333333333,0.03333333333333333,39871000.0,30515000.0,10.0,,"first,second,third"
MASTEK,3,8499366666.666667,62333333.333333336,8561700000.0,4604966666.666667,108133333.33333333,188200000.0,2535400000.0,7436700000.0,1177466666.6666667,194600000.0,982866666.6666666,31.849999999999998,31.49666666666667,1067600000.0,154333333.33333334,5.0,,"first,second,third"
MATRIMONY,3,1158400000.0,74800000.0,1233200000.0,353633333.3333333,12300000.0,74066666.66666667,634100000.0,1074100000.0,159100000.0,35100000.0,123666666.66666667,5.576666666666667,5.573333333333333,122700000.0,110133333.33333333,5.0,,"first,second,third"
MAWANASUG,3,3678766666.6666665,13466666.666666666,3692233333.3333335,207200000.0,76300000.0,82533333.33333333,272200000.0,3726833333.3333335,169666666.66666666,10500000.0,159166666.66666666,4.069999999999999,4.069999999999999,159166666.66666666,391200000.0,10.0,,"first,second,third"
MAXESTATES,3,402347000.0,172215333.33333334,574562333.3333334,39940666.666666664,151072333.33333334,84464333.33333333,229454666.66666666,520082000.0,54480333.333333336,13022666.666666666,41457666.666666664,0.27,0.27,41175666.666666664,1564515000.0,10.0,,"first,second,third"
MAXHEALTH,3,17062400000.0,362733333.3333333,17425133333.333332,2861400000.0,366033333.3333333,861966666.6666666,6185333333.333333,13833466666.666666,3346233333.3333335,823300000.0,2522933333.3333335,2.5966666666666667,2.58,2508200000.0,9720566666.666666,10.0,,"first,second,third"
MAXIND,3,346566666.6666667,49100000.0,395666666.6666667,233933333.33333334,17433333.333333332,45233333.333333336,312033333.3333333,671666666.6666666,-318000000.0,3400000.0,-314333333.3333333,-7.283333333333334,-7.283333333333334,-311900000.0,431700000.0,10.0,,"first,second,third"
MAYURUNIQ,3,2098598333.3333333,97242000.0,2195840333.3333335,120748666.66666667,4630333.333333333,71710000.0,390202000.0,1714723000.0,481117333.3333333,121827000.0,359290333.3333333,8.213333333333333,8.213333333333333,363613666.6666667,218096333.33333334,5.0,,"first,second,third"
MAZDA,3,465822000.0,24080666.666666668,489902666.6666667,75942000.0,1442000.0,9669666.666666666,109627000.0,405618666.6666667,84284000.0,19955333.333333332,64328666.666666664,11.12,11.12,64049666.666666664,40050000.0,7.333333333333333,,"first,second,third"
MAZDOCK,3,27524900000.0,2705733333.3333335,30230633333.333332,2336366666.6666665,10966666.666666666,288633333.3333333,7130366666.666667,21257800000.0,8972833333.333334,2349766666.6666665,6960733333.333333,27.843333333333334,27.843333333333334,6950533333.333333,2016900000.0,8.333333333333334,,"first,second,third"
